"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Products API","1","0","Filter products by category","0"
"0","","0","Products API","1","0","Data mutation safety between resources","0"
"0","","0","Products API","1","0","Delete operation simulation validation","0"
"0","","0","Authentication","1","0","Login with valid credentials","0"
"0","","0","Products API","1","0","Advanced Search: Contextual filtering within category","0"
"0","","0","Products API","3","0","Search products by query","0"
"0","","0","Products API","1","0","Search products across multiple categories simultaneously","0"
"0","","0","Products API","1","0","Sort products by price descending","0"
"0","","0","Products API","1","0","Negative: Request non-existing product","0"
"0","","0","Products API","1","0","Cross-endpoint data consistency validation","0"
"0","","0","Products API","1","0","Schema backward compatibility validation","0"
"0","","0","Products API","1","0","Search should return empty result for non-existing query","0"
"0","","0","Products API","1","0","Validate product list response contract integrity","0"
"0","","0","Products API","1","0","Negative: Validation of field types during product creation","0"
"0","","0","Products API","1","0","Concurrency: Simulated concurrent updates","0"
"0","","0","Products API","1","0","Data-driven product creation","0"
"0","","0","","1","0","","0"
"0","","0","Products API","1","0","Pagination consistency and data integrity","0"
"0","","0","Products API","1","0","API response time SLA validation","0"
"0","","0","Products API","1","0","Read + Simulated Write Operations","0"
"0","","0","Products API","1","0","Partial update should not override unspecified fields","0"
"0","","0","Products API","1","0","GET request should be idempotent and consistent","0"
